beta,gamma,alpha,l
0.05027583662791925,0.016934542563620057,0.314996511553605,0.6514703323871741
0.048725760516187024,0.016726597533631583,0.5324965538688364,0.5325450340560993
0.051264226939788854,0.0192996187024801,0.24968287999315564,0.9082132765066551
0.049825563419585904,0.019294401645299282,0.5069991978869347,0.6386004648199645
0.0513812878485097,0.014771061607412286,0.1622113475573782,0.8301341296175472
0.05048297059984004,0.021373793664381073,0.7889584553046778,0.7725785095604408
0.048340162407653105,0.016367128038392596,0.5586723119345494,0.5307685799468799
0.052817722277040784,0.024110186983805744,0.93718259111181,0.8326050667721678
0.054972210251941954,0.024923005062770648,0.4026275479951288,0.9849852836962186
0.052284119954464574,0.016071112259720438,0.1554906331979673,0.9378984693180753
0.048208370057934574,0.017173549537981968,0.6828580157913899,0.5142351820812449
0.053004395688846684,0.021112469884815417,0.2607691267573008,0.9684946487135168
0.0434435707523099,0.008941589518532574,0.3036909929445568,0.41305009259738434
0.05493601557722493,0.02612874556833955,0.6016384775254322,0.928564380660517
0.05352941800626184,0.020941130586302162,0.3638156375016396,0.8286848864802905
0.04726437301620222,0.017304573749324773,0.6675504979972507,0.5265881342354305
0.05326300473242284,0.025110335506062238,0.7419459174665585,0.891415832761267
0.048544475103358804,0.018355794745335156,0.7752782932407642,0.5335159536502985
0.05097724781160032,0.0223153781129624,0.7014154875392432,0.7675580200493822
0.050421169780748676,0.014629639214218802,0.16742510473024919,0.7946573110314082
0.051174322019769236,0.016889186815803658,0.2775074937191486,0.7594275169039255
0.04987371963336858,0.02052071053507864,0.9017410291702146,0.6068774763895347
0.045842124519813746,0.012827035740165017,0.373876634130894,0.4389205722957389
0.05154662047942202,0.02164051139783606,0.4172160390075431,0.8589335206320828
0.048518488594539895,0.018796162645651142,0.8902000681146939,0.5441349359137809
0.051962689113702866,0.015053768344480321,0.14515251429336695,0.9083499237500057
0.04962325116361439,0.01879828358157226,0.6813140609725317,0.5899246438717207
0.05392639528062321,0.025181302301969594,0.6262745247114406,0.8833793071729054
0.048765637059103674,0.015824295640927636,0.3270325144193593,0.5880642089565029
0.05006216341884186,0.017747998009338656,0.3814631148314226,0.6256026946116432
0.05560531113266811,0.02657083688668805,0.7894673664161483,0.9531696603162316
0.048441532242051305,0.018951338531280424,0.6876031448169417,0.698979135161051
0.05092235638951177,0.02062011922180569,0.7134324910025234,0.6826341879622937
0.05237596044787085,0.023637744602346036,0.6072216549922319,0.86230958825023
0.05326538539047761,0.016809643535494734,0.16639308434568068,0.9841726952592332
0.05153536294060206,0.018600375735636956,0.36689597539186114,0.7478025315011962
0.05062461815226381,0.01907187225403502,0.523756638959817,0.6183224966139079
0.05207375456683233,0.023415409604054173,0.7942900144381668,0.8813825990477105
0.0510698678287196,0.01691002218775685,0.27133686607750107,0.7030931219647467
0.04825826486889586,0.01640551888684005,0.3670638405285519,0.7299816313817782
0.040817211807212796,0.00823172758884988,0.76639036743133,0.2609514281006593
0.05149438640809182,0.021239601123334857,0.5530049295699201,0.8364269229411927
0.05052615780146841,0.020838433972179205,0.7591943828486589,0.7329323945495245
0.05488929473241697,0.025744715724413954,0.8111390577794946,0.8677800291299895
0.04876245599566865,0.017002857272964866,0.5739339595851245,0.563686746844261
0.054813888967698725,0.024166111042182886,0.5471228261792843,0.8939026855002826
0.054851319385527196,0.024511802710606975,0.5682114757405962,0.833538010259123
0.0471548528898949,0.015774950503685756,0.43813459788303555,0.5322295911869344
0.05259330344630083,0.023434766168221228,0.7150949959364925,0.8917857914231073
0.05364505037256895,0.02436232024929349,0.705106110238823,0.7756706168929559
0.0504534718586145,0.019743742879457047,0.34886507617916185,0.9660602674148595
0.05357835456881164,0.023654302246522686,0.7029967090484033,0.8081201342077695
0.05270995870447989,0.02381646453110204,0.9394140339771412,0.7497843312489606
0.05252522984143245,0.018562756461287213,0.28857099751211546,0.8178942471854665
0.0530336241658349,0.02269748206709591,0.551006858208555,0.7452891649726548
0.054474431385280755,0.023470893591968647,0.4120111572630747,0.8616882938609498
0.05069927810884127,0.019791024736272367,0.41986631006090047,0.702949071546036
0.05247009632081361,0.022313011630968417,0.5216536216223011,0.9169735669327382
0.048535905448362636,0.018505942351136184,0.5979074280771234,0.7075265078324813
0.049363351805326104,0.017151378352704538,0.29180526116814876,0.7054355180439157
0.04385324551911139,0.012865065109211257,0.6525834325585151,0.45078361893374286
0.05092865975528566,0.02184037353960798,0.529997487696527,0.8975314063269906
0.046026403652847526,0.015242501396688469,0.47528237047223476,0.6159245275262905
0.05376503056322388,0.02622276488490652,0.9373018699732335,0.9987399546108883
0.04598952432328592,0.014194260058141624,0.6346253428507656,0.46601732188431166
0.05288818972393576,0.01799987766463649,0.21751590056867753,0.9497736269008062
0.05056532043949809,0.02141392586588737,0.7596784958946593,0.6552663512730956
0.05568213447630926,0.027669722372217008,0.895815927041106,0.9045316075168663
